,残差（全体）
0,75099.96795755993
1,9492.204274268308
2,28905.867616837895
3,-9728.992544244893
4,-2372.156899869453
5,40678.65889820742
6,20870.970909678344
7,18507.235106170465
8,15806.781932525306
9,-1099.9813380555065
10,-15265.684306439554
11,6765.258275378524
12,-4952.348349110837
13,4965.414137178024
14,40561.87582039158
15,44924.90926604451
16,16663.36071579651
17,29852.48203400569
18,1431.8879497320354
19,-8402.537912232528
20,-619.004169837956
21,-8504.470709590601
22,15193.644306442715
23,-13081.014476288867
24,3392.0848665260655
25,24097.64670969607
26,5728.017403169048
27,25263.109724596627
28,25682.082784280316
29,61551.42224946042
30,25491.761374716913
31,-18463.799855463963
32,-4709.003257258288
33,46188.99527440787
34,-1424.9845943613298
35,1654.6777298546185
36,29501.529891352817
37,8743.76194531104
38,49277.560689658545
39,31577.91772355472
40,-5220.571897485265
41,-4660.8052405389035
42,3329.6830664118606
43,33722.02882772533
44,10471.78518264708
45,28292.804664426363
46,-4463.032424224036
47,27874.9447932039
48,-18989.94784637675
49,-3397.3207835073063
50,1762.052880063809
51,30228.381166316954
52,14376.067740062237
53,3820.4445978975223
54,20653.21254537244
55,-974.9701394470883
56,-8823.438018683191
57,-733.0691248561197
58,-18794.924948583062
59,14115.552435041638
60,51479.49882074504
61,-3664.4844933901086
62,37526.92357468556
63,-10309.42932470135
64,28982.148397416615
65,7066.269909777812
66,-12976.50806792298
67,17784.920257317593
68,9649.394497788964
69,-4584.347931557228
70,18900.184366063942
71,-3643.1342923069224
72,-14560.734941120085
73,49789.43915524588
74,9071.152629665534
75,-7675.31890363433
76,17968.441952927824
77,-19936.68231265128
78,-10613.216420490866
79,-9307.403603090235
80,11394.424089484024
81,8092.151346943967
82,22014.851879254944
83,4960.83407216339
84,14750.165305416222
85,-16377.209140554687
86,-9469.670177503798
87,27.130371100620323
88,20920.674940098343
89,10663.301348728453
90,-6000.237040863384
91,9387.754961790044
92,-12238.240981895327
93,-5164.452829762639
94,103228.60612029492
95,-10150.100656610299
96,-16748.045068662177
97,15491.0091203115
98,7545.773022828282
99,-16957.64901714275
