,所属亚组,残差（亚组）
0,3.0,18022.578378236853
1,1.0,10643.887602047907
2,3.0,2816.083732875064
3,4.0,2548.626707712809
4,1.0,5921.508902764937
5,2.0,28804.137024010764
6,2.0,10132.16698252596
7,2.0,10871.046030139085
8,2.0,10440.413699455094
9,4.0,3840.405572116375
10,4.0,9906.129838585854
11,1.0,10345.706089032785
12,4.0,4528.567110031843
13,1.0,7101.162641109229
14,3.0,34133.15198836103
15,3.0,6964.69163502939
16,2.0,2108.576779689174
17,3.0,11240.040850783387
18,1.0,4705.476632784563
19,1.0,8459.04601379788
20,1.0,2617.9454044981007
21,4.0,5052.262522339821
22,2.0,12418.690321570262
23,4.0,2956.7200542092323
24,1.0,3702.71914226457
25,2.0,9160.646878240164
26,1.0,8877.846018216494
27,2.0,15814.618219807744
28,2.0,15432.24937434541
29,3.0,12067.969891170971
30,4.0,6391.197952389717
31,4.0,7516.736279934645
32,4.0,4836.597763776779
33,3.0,10977.666347472617
34,1.0,3274.3041914135333
35,1.0,11028.15554321585
36,2.0,16622.72418582579
37,2.0,11793.770197308855
38,3.0,29000.014955931652
39,2.0,17780.171178812067
40,1.0,5794.990724418759
41,4.0,3924.454854488373
42,1.0,3923.3938613284845
43,3.0,11247.926335314662
44,2.0,8594.706774221579
45,2.0,3162.668340815231
46,4.0,3877.0909521778426
47,2.0,11756.829090506304
48,4.0,8072.606892546018
49,1.0,6517.409231899655
50,1.0,4474.171960922147
51,2.0,20798.332710403854
52,1.0,12958.58306398068
53,1.0,6044.437228684915
54,2.0,691.4815018679947
55,4.0,10499.144295305014
56,1.0,6324.130313105503
57,1.0,2719.2828799859853
58,4.0,7231.673067122698
59,2.0,11277.644730864093
60,3.0,12286.586179822683
61,1.0,3460.623142194352
62,2.0,27065.070938073564
63,1.0,10794.958481924341
64,2.0,8978.841753481422
65,4.0,12063.706298783422
66,4.0,3717.391168922186
67,2.0,11515.851841540009
68,1.0,10217.98832663642
69,1.0,1321.294263519987
70,2.0,22868.3433237995
71,1.0,1642.8534559497493
72,4.0,4954.162431299686
73,3.0,5828.640627250075
74,2.0,9786.167872485006
75,4.0,4905.9334012568
76,2.0,8101.09650533786
77,4.0,8814.4562728405
78,4.0,2517.9405507445335
79,4.0,901.5038466751575
80,4.0,1966.2398655936122
81,2.0,8604.477664936334
82,2.0,2394.689408283215
83,1.0,7808.58628495576
84,2.0,19929.796267217676
85,4.0,7396.612718462944
86,1.0,9461.821052780651
87,1.0,8201.985265021562
88,2.0,16564.26088847608
89,4.0,18785.162051876385
90,4.0,3813.979860107104
91,2.0,10386.40804445045
92,4.0,2654.3150369524956
93,1.0,5670.640040962855
94,3.0,45172.85434929654
95,4.0,6142.352498567105
96,4.0,5947.091028481722
97,2.0,11095.383607532596
98,1.0,6169.269067277084
99,4.0,5652.145280867815
